1477.6948,894.538
1488.8934,783.5228
1898.7339,1004.59766
1106.0133,1480.3618
1029.6376,1357.5481
1232.4684,1235.8074
1867.7795,1054.8328
1570.6985,1219.4388
1074.4326,1381.5154
1102.3599,1120.9352
1467.0894,998.95514
1533.4535,1406.699
1643.0695,1250.2058
1465.8727,705.3189
1086.406,1439.6069
1342.7974,801.7044
1609.3434,878.6567
1988.4535,1060.5363
1704.7109,1108.9457
1041.4431,1327.9373
1100.6449,961.0386
1102.9156,1021.0179
1731.5665,1388.2751
1526.6023,1106.2079
1811.1711,996.6089
1593.7021,1230.342
1653.644,1466.3987
1571.3077,1342.4263
1673.3909,1174.5369
1656.6206,1037.6844
1776.2017,1249.5737
1836.7504,1488.0919
1787.3242,839.2173
1423.554,985.5476
1623.4977,991.2227
1521.0457,1353.628
1923.0084,910.7651
1574.3207,1226.6877
1216.1023,764.8495
1885.2983,1131.166
1611.5825,1176.3774
1595.0627,1004.51514
1893.3997,1421.8281
1598.6384,1498.4646
1116.6846,788.90955
1848.72,1268.5713
1920.4521,861.2357
1756.3492,1331.9924
1746.0034,881.7241
